algorithm,distribution,N,U,time_ms,throughput_mkeys_per_s,speedup_vs_std_sort,correct,best_run_index
std::stable_sort,reverse,100000,1024,18.735,5.338,0.988,OK,1
DialSort-Counting,uniform,100000,65536,2.373,42.141,13.685,OK,1
DialSort-Parallel,uniform,100000,65536,7.183,13.923,4.521,OK,2
std::sort,uniform,100000,65536,32.475,3.079,1.000,OK,6
std::stable_sort,uniform,100000,65536,33.097,3.021,0.981,OK,6
DialSort-Counting,skewed,100000,65536,1.882,53.129,14.160,OK,3
DialSort-Parallel,skewed,100000,65536,6.566,15.230,4.059,OK,6
std::sort,skewed,100000,65536,26.652,3.752,1.000,OK,1
std::stable_sort,skewed,100000,65536,31.177,3.208,0.855,OK,4
DialSort-Counting,sorted,100000,65536,3.042,32.879,5.232,OK,1
DialSort-Parallel,sorted,100000,65536,7.505,13.324,2.120,OK,1
std::sort,sorted,100000,65536,15.913,6.284,1.000,OK,3
std::stable_sort,sorted,100000,65536,13.461,7.429,1.182,OK,4
DialSort-Counting,reverse,100000,65536,3.103,32.231,5.068,OK,4
DialSort-Parallel,reverse,100000,65536,7.452,13.419,2.110,OK,2
std::sort,reverse,100000,65536,15.725,6.359,1.000,OK,2
std::stable_sort,reverse,100000,65536,16.346,6.118,0.962,OK,5
DialSort-Counting,uniform,1000000,256,11.888,84.116,23.120,OK,5
DialSort-Parallel,uniform,1000000,256,10.497,95.264,26.184,OK,6
std::sort,uniform,1000000,256,274.858,3.638,1.000,OK,0
std::stable_sort,uniform,1000000,256,334.970,2.985,0.821,OK,2
DialSort-Counting,skewed,1000000,256,14.726,67.909,17.947,OK,2
DialSort-Parallel,skewed,1000000,256,12.476,80.155,21.184,OK,6
std::sort,skewed,1000000,256,264.284,3.784,1.000,OK,0
std::stable_sort,skewed,1000000,256,431.805,2.316,0.612,OK,3
DialSort-Counting,sorted,1000000,256,14.409,69.401,17.713,OK,3
DialSort-Parallel,sorted,1000000,256,11.727,85.273,21.764,OK,1
std::sort,sorted,1000000,256,255.229,3.918,1.000,OK,5
std::stable_sort,sorted,1000000,256,216.145,4.627,1.181,OK,1
DialSort-Counting,reverse,1000000,256,14.954,66.872,17.315,OK,1
DialSort-Parallel,reverse,1000000,256,12.342,81.024,20.979,OK,3
std::sort,reverse,1000000,256,258.926,3.862,1.000,OK,4
std::stable_sort,reverse,1000000,256,213.230,4.690,1.214,OK,5
DialSort-Counting,uniform,1000000,1024,13.558,73.756,19.994,OK,6
DialSort-Parallel,uniform,1000000,1024,9.986,100.139,27.146,OK,0
