================================================================
DialSort vs. ska_sort — Direct Comparison Benchmark
Paper: DialSort: Non-Comparative Integer Sorting
       via the Self-Indexing Principle
================================================================
Compiler     : g++ 11.4.0
Flags        : -O3 -std=c++17 -pthread
Threads      : 8
Warmup       : 3 discarded runs
Measurement  : best-of-7 runs
Seed         : 20260321
ska_sort     : ENABLED
================================================================

TABLE — DialSort vs ska_sort vs std::sort
Column 'vs std::sort': speedup relative to GCC introsort

Algorithm                   Dist      N           U       ms (best)    M keys/s      vs std::sort  OK
DialSort-Parallel           uniform   10000000    65536   39.613       252.442       18.175        OK
ska_sort                    uniform   10000000    65536   108.703      91.994        6.623         OK

std::sort                   skewed    10000000    65536   638.972      15.650        1.000         OK
DialSort                    skewed    10000000    65536   23.489       425.726       27.203        OK
DialSort-Parallel           skewed    10000000    65536   18.446       542.111       34.639        OK
ska_sort                    skewed    10000000    65536   116.382      85.924        5.490         OK

std::sort                   sorted    10000000    65536   141.017      70.914        1.000         OK
DialSort                    sorted    10000000    65536   28.902       345.997       4.879         OK
DialSort-Parallel           sorted    10000000    65536   17.165       582.577       8.215         OK
ska_sort                    sorted    10000000    65536   124.310      80.444        1.134         OK

std::sort                   reverse   10000000    65536   136.557      73.230        1.000         OK
DialSort                    reverse   10000000    65536   28.126       355.544       4.855         OK
DialSort-Parallel           reverse   10000000    65536   16.210       616.884       8.424         OK
ska_sort                    reverse   10000000    65536   127.383      78.503        1.072         OK

================================================================
SUMMARY — DialSort vs ska_sort
================================================================

Configurations measured              : 48
DialSort faster than ska_sort        : 46 / 48
Avg ratio DialSort / ska_sort         : 0.300x
Min ratio DialSort / ska_sort (best)  : 0.139x
Max ratio DialSort / ska_sort (worst) : 1.616x

NOTE: ratio < 1.0 => DialSort is faster than ska_sort
      ratio > 1.0 => ska_sort is faster than DialSort

All correctness checks: PASSED

================================================================
CSV OUTPUT
================================================================
algo,dist,N,U,ms_best,Mkeys_per_s,speedup_vs_std,correct
std::sort,uniform,10000,256,0.349,28.670,1.000,OK
DialSort,uniform,10000,256,0.011,884.956,30.867,OK
DialSort-Parallel,uniform,10000,256,0.818,12.222,0.426,OK
ska_sort,uniform,10000,256,0.070,142.045,4.955,OK
std::sort,skewed,10000,256,0.257,38.911,1.000,OK
DialSort,skewed,10000,256,0.011,877.193,22.544,OK
DialSort-Parallel,skewed,10000,256,1.129,8.859,0.228,OK
ska_sort,skewed,10000,256,0.070,142.857,3.671,OK
std::sort,sorted,10000,256,0.086,116.686,1.000,OK
DialSort,sorted,10000,256,0.019,534.759,4.583,OK
DialSort-Parallel,sorted,10000,256,0.690,14.501,0.124,OK
ska_sort,sorted,10000,256,0.083,120.192,1.030,OK
std::sort,reverse,10000,256,0.115,87.108,1.000,OK
DialSort,reverse,10000,256,0.018,540.541,6.205,OK
DialSort-Parallel,reverse,10000,256,0.758,13.187,0.151,OK
ska_sort,reverse,10000,256,0.085,117.925,1.354,OK
std::sort,uniform,10000,1024,0.430,23.261,1.000,OK
DialSort,uniform,10000,1024,0.016,609.756,26.213,OK
DialSort-Parallel,uniform,10000,1024,0.591,16.915,0.727,OK
ska_sort,uniform,10000,1024,0.099,101.523,4.364,OK
std::sort,skewed,10000,1024,0.334,29.940,1.000,OK
DialSort,skewed,10000,1024,0.014,699.301,23.357,OK
DialSort-Parallel,skewed,10000,1024,0.553,18.067,0.603,OK
ska_sort,skewed,10000,1024,0.095,104.822,3.501,OK
std::sort,sorted,10000,1024,0.106,94.162,1.000,OK
DialSort,sorted,10000,1024,0.020,497.512,5.284,OK
DialSort-Parallel,sorted,10000,1024,0.735,13.611,0.145,OK
ska_sort,sorted,10000,1024,0.103,97.466,1.035,OK
std::sort,reverse,10000,1024,0.144,69.541,1.000,OK
DialSort,reverse,10000,1024,0.030,331.126,4.762,OK
DialSort-Parallel,reverse,10000,1024,0.491,20.362,0.293,OK
ska_sort,reverse,10000,1024,0.113,88.810,1.277,OK
